1024	1.9220	1.7310
2048	2.6260	2.0670
4096	3.3420	3.0410
8192	4.3750	3.7320
16384	6.9720	5.6240
32768	12.5110	10.0920
65536	25.8020	17.9620
131072	45.4800	34.4740
262144	89.8550	71.2180
1024	2.1560	2.2150	X
2048	2.4600	2.3270
4096	3.0320	2.9810
8192	4.3070	3.9180
16384	7.0020	5.9310
32768	11.7810	10.4100
65536	23.7740	18.6770
131072	50.7230	36.7470
262144	89.9950	71.6740
1024	2.2360	2.2040
2048	2.5280	2.3090
4096	3.2100	2.7950
8192	4.4860	3.9570
16384	7.1540	6.1060
32768	12.4960	9.9770
65536	23.7260	19.2100
131072	43.3720	34.4820
262144	89.1260	71.3010
1024	2.1440	2.1190
2048	2.3800	2.3410
4096	3.1280	3.0010
8192	4.3270	3.7600
16384	7.1180	6.0690
32768	12.6890	10.4720
65536	23.3660	19.1060
131072	45.4570	37.1990
262144	89.3710	71.9170
1024	2.2380	2.0870
2048	2.3520	2.3310
4096	3.1070	2.8070
8192	4.5200	3.9460
16384	7.0070	6.0120
32768	12.5140	10.3930
65536	23.4320	18.9750
131072	49.8180	36.6160
262144	89.7670	71.9840
1024	2.2370	1.9590
2048	2.4290	2.4200
4096	3.2400	2.8860
8192	4.2170	4.0080
16384	7.1970	5.8260
32768	12.6810	10.4280
65536	25.4640	18.0890
131072	42.5670	34.9350
262144	90.5470	71.5200
1024	2.1780	1.9630
2048	2.5740	2.4820
4096	2.9870	2.9670
8192	4.4080	3.9500
16384	6.7690	5.9180
32768	12.6810	10.3010
65536	23.5490	20.4880
131072	45.9040	36.4890
262144	89.7380	71.5320
1024	2.0500	2.0850	X
2048	2.5040	2.2380
4096	3.2610	2.9420
8192	4.5630	4.1270
16384	7.0360	5.8500
32768	12.4690	10.2770
65536	23.7580	19.1790
131072	45.7520	36.7010
262144	89.5850	71.4720
1024	2.0900	2.0960	X
2048	2.5770	2.2620
4096	3.3410	2.8760
8192	4.5600	3.6080
16384	6.9730	5.9240
32768	12.3030	10.1990
65536	22.1360	19.6500
131072	45.4890	37.0170
262144	93.4690	71.7530
1024	2.0600	2.0300
2048	2.7300	2.3160
4096	3.1190	2.9000
8192	4.6360	3.8750
16384	7.1210	5.9970
32768	12.3770	10.2960
65536	22.2510	19.2100
131072	45.7040	36.7100
262144	89.3920	72.5900
1024	2.0440	2.3100	X
2048	2.5470	2.2160
4096	3.1450	2.9430
8192	4.4970	3.9050
16384	7.0380	6.1460
32768	11.9750	10.2290
65536	23.6540	19.1410
131072	43.2290	35.2270
262144	97.7530	71.3580
1024	2.1270	2.1090
2048	2.3620	2.3330
4096	3.3710	2.8600
8192	4.4880	3.8820
16384	6.8550	5.9670
32768	12.4800	10.3910
65536	23.3820	19.0850
131072	45.6730	36.6110
262144	89.8980	71.8660
1024	2.0300	2.1140	X
2048	2.4950	2.1980
4096	3.3620	2.8580
8192	4.4770	4.0860
16384	6.9180	6.2430
32768	12.7730	9.9600
65536	23.6360	19.2360
131072	45.5150	36.7550
262144	89.7620	69.5710
1024	1.3860	2.3440	X
2048	2.5440	2.7080	X
4096	3.0790	2.9600
8192	4.3180	3.9390
16384	7.0690	6.0840
32768	13.1710	10.3910
65536	23.5970	18.9320
131072	45.4970	36.8610
262144	89.6570	67.6440
1024	2.0840	2.1380	X
2048	2.5720	2.1400
4096	3.1630	2.8800
8192	4.3320	3.9180
16384	7.0350	6.9820
32768	12.5230	10.4310
65536	23.9000	19.1340
131072	45.6390	36.4430
262144	93.7120	71.7200
1024	2.0840	1.8560
2048	2.3060	2.4880	X
4096	3.1320	2.8700
8192	4.4490	4.0310
16384	6.7490	5.9840
32768	12.6090	10.4030
65536	24.1080	19.0330
131072	45.6370	36.6590
262144	90.2210	71.8620
1024	2.1520	2.1160
2048	2.5380	2.2600
4096	3.2690	2.7370
8192	4.4410	3.8750
16384	7.1180	5.9380
32768	12.6990	10.2070
65536	23.5250	19.2560
131072	45.7760	36.5750
262144	90.1800	71.2390
1024	2.0980	2.2130	X
2048	2.5460	2.2900
4096	3.0790	2.7980
8192	4.2290	4.1300
16384	6.9800	5.9130
32768	12.5740	10.3420
65536	23.7060	19.6420
131072	45.0490	38.1430
262144	89.2240	67.4560
1024	1.9060	1.9730	X
2048	2.4070	2.4190	X
4096	3.1780	2.9660
8192	4.4870	4.0580
16384	6.9920	5.8560
32768	12.9000	10.5590
65536	23.6390	18.1400
131072	45.8740	36.3820
262144	86.7290	71.7110
1024	2.1760	2.2110	X
2048	2.3840	2.5410	X
4096	3.2450	2.9050
8192	4.4760	3.7280
16384	6.8780	6.1870
32768	12.6090	10.1300
65536	23.4580	19.1070
131072	46.2020	36.6090
262144	89.9360	71.7430
